City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Atherton,250001,California,4.2,5.7,7.8,5.7,9.1,4.9,5.8,7.5,15.8,17.7,11.3,7.0,3.2,7034
Hidden Hills,250001,California,1.9,6.9,9.0,6.9,12.0,3.6,4.2,8.5,21.6,18.6,8.7,3.2,1.8,1749
Hillsborough,250001,California,4.8,9.3,8.2,9.3,7.0,3.3,3.6,11.7,17.6,15.4,10.6,5.6,2.9,11148
Ladera,250001,California,10.2,7.3,9.0,7.3,8.0,2.5,3.0,9.8,13.8,15.6,12.6,6.1,2.1,1497
Los Altos Hills,250001,California,3.1,5.3,9.4,5.3,6.3,2.0,5.3,8.1,18.9,17.8,12.5,7.6,3.6,8244
Portola Valley,250001,California,4.5,3.0,6.1,3.0,5.4,1.3,7.4,5.7,16.6,18.3,14.7,9.4,7.6,4478
Piedmont,247171,California,3.8,9.9,9.6,9.9,5.3,4.3,5.5,11.8,16.9,17.8,10.2,3.1,2.0,10957
Kentfield,246771,California,3.0,7.1,10.0,7.1,5.6,3.0,4.5,12.6,15.1,16.5,14.5,6.7,1.4,6667
Woodside,242143,California,2.5,6.6,7.9,6.6,9.3,2.1,4.4,8.0,19.9,16.8,11.3,7.6,3.6,5427
Monte Sereno,238606,California,3.3,8.0,7.7,8.0,7.9,2.9,4.3,9.6,18.1,17.0,9.7,8.6,3.0,3462
Loyola,238177,California,4.3,7.6,8.2,7.6,7.7,2.7,4.5,12.2,19.9,13.3,12.1,5.3,2.3,3463
Rolling Hills,227250,California,1.5,3.6,7.1,3.6,8.3,3.3,4.6,5.7,14.4,18.1,16.3,13.0,4.1,1689
Bell Canyon,215441,California,1.3,4.7,10.0,4.7,8.9,5.6,6.1,9.9,17.2,24.8,7.8,2.9,0.8,2289
Orinda,213021,California,4.9,6.7,8.6,6.7,6.1,3.9,4.5,13.6,16.2,15.4,10.5,5.9,3.7,18390
Norris Canyon,205625,California,6.4,14.2,11.8,14.2,6.9,9.2,3.4,15.1,19.9,10.3,1.1,0.8,0.9,1227
Palos Verdes Estates,203241,California,4.5,6.3,8.2,6.3,7.2,2.7,5.7,9.5,18.7,13.7,12.0,8.0,3.5,13568
Ross,200833,California,7.3,8.9,10.5,8.9,4.7,2.9,4.2,11.9,16.3,18.6,7.3,5.7,1.7,2227
Saratoga,197332,California,2.9,5.9,9.2,5.9,6.9,3.1,5.0,11.8,19.9,15.5,9.9,6.2,3.7,30627
Blackhawk,195833,California,3.8,4.6,7.3,4.6,7.3,2.9,3.9,11.6,18.4,24.3,12.0,2.5,1.4,9297
West Menlo Park,192250,California,3.6,9.0,11.8,9.0,6.1,3.4,10.2,14.9,15.9,11.7,7.3,3.9,2.2,3743
Los Altos,190938,California,5.4,8.7,7.3,8.7,5.6,2.3,5.1,13.6,16.7,14.7,10.1,6.4,4.1,29762
Emerald Lake Hills,188654,California,5.4,5.7,6.8,5.7,5.1,5.1,5.7,14.3,18.6,17.6,10.4,4.3,1.1,4519
Belvedere,181833,California,3.0,8.0,5.4,8.0,6.0,1.2,2.8,9.2,11.8,18.4,16.0,9.3,9.0,2036
Sausalito,180898,California,3.4,2.1,1.5,2.1,0.7,4.4,10.9,15.8,17.1,20.2,17.4,4.4,2.1,7043
Manhattan Beach,177532,California,5.2,7.5,7.5,7.5,5.2,3.4,11.0,14.8,17.7,13.0,8.3,4.2,2.2,35534
Lafayette,176250,California,4.6,8.2,7.9,8.2,6.2,4.8,6.4,13.4,16.7,14.1,9.6,5.3,2.8,24685
Santa Rosa Valley,175466,California,3.9,6.5,6.3,6.5,7.9,6.6,6.1,7.6,21.8,18.2,9.2,2.7,3.2,3422
Stanford,173750,California,3.0,2.0,1.3,2.0,28.7,35.1,15.4,3.5,2.8,3.7,2.6,1.3,0.6,13506
Coto De Caza,172654,California,4.5,5.2,10.3,5.2,10.5,3.5,6.2,10.6,24.2,14.7,7.3,2.4,0.7,14647
Alamo,171633,California,4.9,6.2,9.0,6.2,8.6,3.6,5.6,10.3,17.5,16.2,11.1,5.2,1.7,15639
Tiburon,170915,California,4.1,6.9,7.1,6.9,4.8,4.1,6.1,9.6,16.8,14.6,13.9,8.7,3.5,9100
La Canada Flintridge,169482,California,4.1,6.4,8.4,6.4,9.2,6.7,5.3,9.9,18.7,15.1,8.3,6.1,1.9,20477
Malibu,169241,California,3.3,4.5,5.4,4.5,6.4,7.8,6.6,9.0,16.3,19.0,11.5,5.7,4.5,12830
Hermosa Beach,167750,California,5.8,5.6,4.2,5.6,2.7,4.5,21.3,17.8,15.8,11.7,6.2,2.7,1.7,19725
Palo Alto,167440,California,4.9,6.5,7.3,6.5,5.5,4.5,13.3,14.2,15.0,11.6,8.7,5.3,3.1,65998
Mill Valley,167061,California,5.4,7.6,6.5,7.6,7.0,1.3,4.9,15.0,17.5,14.4,11.6,5.9,3.0,14178
Moraga,163951,California,4.4,6.4,5.5,6.4,12.5,7.4,4.4,9.8,14.1,16.0,11.4,5.6,2.6,16549
Tamalpais-Homestead Valley,162628,California,4.4,7.3,7.0,7.3,6.3,2.6,6.0,17.2,15.4,18.6,10.7,3.0,1.5,10331
La Honda,162552,California,3.5,3.2,1.9,3.2,15.7,5.3,10.1,2.2,23.4,12.2,17.5,2.2,3.0,741
Highlands-Baywood Park,162235,California,5.7,6.6,4.8,6.6,7.6,3.9,4.6,15.3,16.5,13.8,8.4,10.6,2.4,4298
Montecito,160417,California,3.0,4.8,6.9,4.8,12.4,9.3,3.8,9.5,9.9,16.1,12.6,7.7,4.1,9444
San Carlos,158853,California,6.4,7.9,6.2,7.9,4.8,3.2,9.8,16.4,17.2,13.5,7.5,4.9,2.4,29166
El Granada,158309,California,5.8,6.7,5.2,6.7,5.6,4.5,10.7,12.9,18.9,18.1,8.1,2.7,1.0,5377
Cupertino,158053,California,5.9,8.2,8.1,8.2,6.6,3.5,8.6,17.9,17.7,10.5,6.7,4.1,2.3,59787
Villa Park,157910,California,2.1,5.6,4.6,5.6,8.4,5.8,6.8,8.3,19.2,14.0,14.1,9.3,1.9,5911
Danville,157842,California,5.5,8.3,8.5,8.3,7.1,2.5,6.0,12.4,18.2,15.7,8.1,5.0,2.7,42891
Los Gatos,157796,California,4.8,6.5,6.9,6.5,5.4,3.3,8.9,12.9,18.1,13.7,10.0,7.1,2.4,30163
San Miguel,157768,California,8.6,8.9,3.6,8.9,5.6,3.3,7.7,16.8,17.0,17.5,7.2,2.1,1.6,3355
Menlo Park,156439,California,7.2,8.3,6.3,8.3,3.8,4.3,15.3,14.9,14.3,12.0,7.3,3.8,2.4,32792
Kensington,156179,California,4.2,4.9,7.6,4.9,2.6,2.0,9.1,14.8,15.4,17.2,12.5,6.2,3.6,5351
San Marino,154050,California,5.4,6.1,7.5,6.1,5.9,5.4,6.9,10.8,18.1,15.4,9.8,5.8,3.0,13294
Rolling Hills Estates,154043,California,3.5,5.3,9.3,5.3,6.9,2.7,4.8,9.3,20.3,13.3,12.2,9.9,2.6,8184
Newport Beach,153709,California,3.9,5.2,5.8,5.2,4.7,6.0,12.7,12.2,15.3,14.5,11.1,5.7,3.0,86594
San Ramon,151494,California,6.4,9.8,9.0,9.8,6.6,3.4,10.4,19.5,17.2,9.3,5.3,2.3,0.9,73826
Ladera Ranch,149125,California,11.6,12.7,9.5,12.7,6.2,2.9,9.0,23.3,14.9,5.5,3.1,0.9,0.5,26010
Montara,148273,California,5.3,7.7,3.5,7.7,7.0,2.1,5.6,12.2,30.7,17.5,4.8,1.5,2.0,2880
Lexington Hills,147188,California,6.4,9.7,3.9,9.7,4.8,1.8,10.6,10.7,23.1,19.1,8.0,1.1,0.9,2367
Lucas Valley-Marinwood,145491,California,4.1,6.1,6.1,6.1,6.7,2.9,5.9,10.3,19.4,17.5,12.4,4.5,4.3,6168
Westlake Village,145106,California,3.9,4.9,6.9,4.9,8.5,3.4,6.9,9.6,15.7,16.4,12.5,8.9,2.4,8393
Belmont,142446,California,6.9,5.8,5.8,5.8,5.0,5.1,11.3,16.8,15.1,13.1,7.8,4.7,2.6,26503
Clayton,141623,California,4.5,5.1,7.7,5.1,9.4,5.1,7.3,8.4,22.0,14.1,11.2,4.0,1.4,11328
Corte Madera,141143,California,6.3,6.8,7.5,6.8,6.1,2.9,5.5,14.4,17.2,15.8,8.7,7.3,1.5,9478
North Tustin,140609,California,4.4,5.0,6.7,5.0,8.1,4.6,7.3,11.4,15.0,17.1,11.0,6.9,2.7,25724
Pleasanton,140311,California,5.4,7.3,8.6,7.3,7.7,4.7,9.3,14.3,18.9,11.9,6.9,3.8,1.3,73164
Las Flores,140000,California,10.6,7.6,10.6,7.6,7.2,3.0,14.1,18.6,15.8,7.8,2.7,1.7,0.5,6311
Laguna Beach,138869,California,3.0,3.3,6.3,3.3,5.4,3.0,6.9,13.6,18.2,17.9,16.1,4.9,1.6,23114
Rancho Palos Verdes,137506,California,3.5,6.8,7.0,6.8,6.0,3.5,5.7,10.3,18.1,13.8,12.0,9.5,3.9,42282
Calabasas,136724,California,3.5,7.5,8.8,7.5,7.9,4.9,7.9,13.2,17.9,14.8,8.5,4.4,0.9,23956
Rossmoor,135833,California,5.0,5.1,8.2,5.1,6.6,5.3,7.1,10.6,19.5,12.9,9.8,7.2,2.6,10816
Granite Bay,135583,California,4.5,7.1,8.2,7.1,8.0,4.6,4.3,13.3,19.3,16.0,9.0,4.0,1.6,22646
Oak Park,134178,California,5.2,5.8,10.6,5.8,8.9,4.5,7.7,13.2,19.1,16.0,5.5,2.7,0.9,14512
Fairfax,132545,California,5.1,7.4,5.5,7.4,4.4,2.9,9.6,16.8,17.6,18.3,7.2,3.5,1.8,7546
Burlingame,132210,California,7.4,7.1,5.4,7.1,4.3,4.1,11.6,19.0,16.6,11.3,7.1,3.6,2.3,29618
