Experiment,College,College_Abbrev,Town,County,State,Latitude,Longitude,Treatment,Preexisting_College,Politics,Existing_Site,Auction,Weather,Other,Year_Experiment,Year_Founded,Year_First_Class,Year_First_Graduates,Public,State_Flagship,Land_Grant,Technical_School,Normal_School,HBCU,Womens_College,Military_Academy,Loser_Receive_Consolation,Consolation_Prize,Value_Consolation,Value_State_Grant,Value_Local_Contribution,Local_Donate_Building,Votes_Received,Number of Ballots,Experiment_Quality
AlAMU,Alabama Agricultural and Mechanical University,AlAMU,Huntsville,Madison,Alabama,34.73,-86.585,1,1,1,,,,,1891,1875,1892,,1,,,,,1,,,,,,,,,,1,2
AlAMU,Alabama Agricultural and Mechanical University,AlAMU,Montgomery,Montgomery,Alabama,32.361667,-86.279167,0,1,1,,,,,1891,1875,1892,,1,,,,,1,,,,,,,,,,1,2
AlAMU,Alabama Agricultural and Mechanical University,AlAMU,Tuskeegee,Macon,Alabama,32.431389,-85.706667,0,1,1,,,,,1891,1875,1892,,1,,,,,1,,,,,,,,,,,1
AubU,Auburn University,AubU,Auburn,Lee,Alabama,32.597778,-85.480833,1,1,,1,,,,1872,1856,1859,,1,,1,,,,,,,,,,,1,,,2
AubU,Auburn University,AubU,Florence,Lauderdale,Alabama,34.820278,-87.662778,0,1,,1,,,,1872,1856,1859,,1,,1,,,,,,,,,,50000,1,,,2
AubU,Auburn University,AubU,Talladega,Talladega,Alabama,33.434722,-86.101389,0,,,1,,,,1872,1856,1859,,1,,1,,,,,,,,,,,,,,1
AubU,Auburn University,AubU,Tuscaloosa,Tuscaloosa,Alabama,33.206667,-87.534722,0,1,,1,,,,1872,1856,1859,,1,,1,,,,,,,,,,,1,,,2
LGMA,La Grange Military Academy,LGMA,La Grange,Franklin,Alabama,,,1,,,,,,1,1855,1830,1830,,,,,,,,,1,,,,,,,,,1
LGMA,La Grange Military Academy,LGMA,Florence,Lauderdale,Alabama,34.820278,-87.662778,0,,,,,,1,1855,1830,1830,,,,,,,,,1,,,,,,,,,1
TallC,Talladega College,TallC,Talladega,Talladega,Alabama,33.434722,-86.101389,1,,,1,,,,1866,1866,1867,,,,,,,1,,,,,,,,,,,1
TallC,Talladega College,TallC,Selma,Dallas,Alabama,32.416389,-87.024722,0,,,1,,,,1866,1866,1867,,,,,,,1,,,,,,,,,,,1
TallC,Talladega College,TallC,Montgomery,Montgomery,Alabama,32.361667,-86.279167,0,,,1,,,,1866,1866,1867,,,,,,,1,,,,,,,,,,,1
TallC,Talladega College,TallC,Mobile,Mobile,Alabama,30.694444,-88.043056,0,,,1,,,,1866,1866,1867,,,,,,,1,,,,,,,,,,,1
UAl,University of Alabama,UAl,Tuscaloosa,Tuscaloosa,Alabama,33.206667,-87.534722,1,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,2
UAl,University of Alabama,UAl,Montevallo,Shelby,Alabama,33.105,-86.862778,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,2
UAl,University of Alabama,UAl,Lagrange,Franklin,Alabama,,,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,2
UAl,University of Alabama,UAl,Athens,Limestone,Alabama,34.789722,-86.969444,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,2
UAl,University of Alabama,UAl,Bellfont,Jackson,Alabama,34.711111,-85.945278,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,2
UAl,University of Alabama,UAl,Gage's,Perry,Alabama,33.2454,-86.0008,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Greensborough,Greene,Alabama,32.702222,-87.596111,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Honeycomb Springs,Jackson,Alabama,,,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Somerville,Morgan,Alabama,34.47,-86.798889,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Moulton,Lawrence,Alabama,34.482222,-87.285556,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Davis,Autauga,Alabama,,,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Greenville,Butler,Alabama,31.831111,-86.6275,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Elyton,Jefferson,Alabama,33.5015,-86.8408,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAl,University of Alabama,UAl,Village Springs,Blount,Alabama,,,0,,,,1,,,1827,1818,1831,,1,1,,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Fairbanks,Fairbanks North Star,Alaska,64.843611,-147.723056,1,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Seward,Kenai Peninsula,Alaska,60.124444,-149.433333,0,,1,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Kenai,Kenai Peninsula,Alaska,60.558611,-151.229722,0,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Kodiak,Kodiak Island,Alaska,57.793056,-152.394167,0,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Sitka,Sitka,Alaska,57.051561,-135.338642,0,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Cooper Center,Valdez-Cordova Census Area,Alaska,61.965278,-145.318333,0,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
UAkF,University of Alaska Fairbanks,UAkF,Rampart,Yukon-Koyukuk Census Area,Alaska,65.507222,-150.148611,0,,,1,,,,1917,1917,1922,1923,1,1,1,,,,,,,,,,,,,,1
AzSU,Arizona State University,AzSU,Tempe,Maricopa,Arizona,33.412778,-111.943056,1,,1,,,1,,1885,1885,1891,,1,1,,,,,,,1,Normal School,,5000,,,,,2
AzSU,Arizona State University,AzSU,Phoenix,Maricopa,Arizona,33.45,-112.066667,0,,1,,,1,,1885,1885,1891,,1,1,,,,,,,1,Asylum,,100000,,,,,2
AzSU,Arizona State University,AzSU,Florence,Pinal,Arizona,33.038611,-111.386944,0,,1,,,1,,1885,1885,1891,,1,1,,,,,,,1,Bridge,,12000,,,,,2
AzSU,Arizona State University,AzSU,Tucson,Pima,Arizona,32.221667,-110.926389,0,,1,,,1,,1885,1885,1891,,1,1,,,,,,,1,Public University,,2500,,,,,2
AzSU,Arizona State University,AzSU,Yuma,Yuma,Arizona,32.692222,-114.615278,0,,1,,,1,,1885,1885,1891,,1,1,,,,,,,1,Penitentiary,,,,,,,1
AzSU,Arizona State University,AzSU,Prescott,Yavapai,Arizona,34.54,-112.468611,0,,1,,,1,,1885,1885,1891,,1,,1,,,,,,1,Capital,,,,,,,1
