City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Gulf Stream,250001,Florida,1.6,4.0,7.5,4.0,4.7,2.1,2.0,8.6,15.9,18.6,22.6,8.4,3.9,747
Golf,250001,Florida,1.8,0.9,3.7,0.9,1.4,0.9,3.2,0.5,7.8,16.1,19.7,29.8,14.2,218
North Key Largo,167625,Florida,3.2,3.2,0.5,3.2,0.5,5.5,3.0,4.0,6.9,25.9,26.3,16.8,4.2,1242
Windermere,157708,Florida,5.8,6.5,8.1,6.5,8.0,4.4,2.2,11.7,24.6,12.7,8.9,4.8,2.4,3038
Pinecrest,154957,Florida,5.3,7.5,9.0,7.5,8.4,6.9,7.9,12.5,15.7,14.4,6.5,4.2,1.7,18914
Golden Beach,148125,Florida,5.2,6.3,11.5,6.3,11.9,3.8,6.4,11.5,17.9,15.2,6.1,2.9,1.2,653
Palm Beach,143393,Florida,1.3,1.9,2.1,1.9,1.7,1.0,1.3,6.1,10.3,17.6,22.5,19.0,15.2,8344
Highland Beach,143192,Florida,0.4,2.2,1.1,2.2,2.0,4.1,4.6,4.8,9.5,20.0,27.0,19.8,4.6,3614
Jupiter Inlet Colony,142500,Florida,0.7,11.0,11.4,11.0,2.2,0.7,0.7,10.5,16.8,17.5,14.4,8.3,5.8,411
Sanibel,138194,Florida,1.7,1.8,3.0,1.8,1.9,1.3,3.7,3.9,11.1,20.4,31.8,13.8,5.7,6761
Ocean Ridge,133194,Florida,5.6,1.6,3.7,1.6,3.1,1.2,8.0,7.6,17.3,16.4,14.0,13.2,8.2,1754
Saint Leo,132500,Florida,0.6,1.3,0.8,1.3,46.7,31.4,2.1,2.0,3.8,5.3,3.8,1.4,0.9,1272
Parkland,131509,Florida,7.1,7.4,10.9,7.4,8.7,4.5,8.2,16.2,16.6,12.5,5.5,1.2,1.1,25895
Key Biscayne,131429,Florida,6.7,11.5,9.2,11.5,6.1,3.1,6.5,15.4,13.9,9.6,10.0,6.0,2.2,12774
Lake Butler CDP,129304,Florida,5.3,7.1,10.7,7.1,5.3,7.5,9.4,15.2,16.2,13.8,6.5,2.5,0.6,16053
Pine Ridge CDP,126563,Florida,1.6,4.3,7.8,4.3,7.8,2.9,2.7,9.3,17.9,16.3,15.6,5.9,7.9,1993
Coral Gables,126264,Florida,5.3,4.2,4.9,4.2,10.6,8.5,10.6,13.0,14.3,12.4,9.1,4.5,2.6,49319
Keystone,125921,Florida,4.8,7.4,8.2,7.4,6.9,4.8,5.7,14.1,20.3,15.2,7.9,3.5,1.3,22678
Sea Ranch Lakes,121806,Florida,6.8,7.1,7.6,7.1,6.5,2.7,4.1,12.8,14.1,14.9,9.5,11.5,2.4,737
Longboat Key,121689,Florida,0.9,0.6,0.8,0.6,1.1,1.1,2.0,1.9,7.8,18.7,27.7,27.2,10.4,7003
Fish Hawk,116450,Florida,6.5,8.8,15.0,8.8,8.9,2.9,7.2,21.8,16.1,6.7,4.5,1.3,0.4,15823
Palmetto Bay,116118,Florida,5.0,6.1,8.8,6.1,10.5,6.0,7.9,12.4,16.7,13.7,7.4,3.5,2.1,24214
Palm Valley,114596,Florida,3.4,3.9,6.9,3.9,8.4,3.9,9.5,9.5,19.3,16.4,9.6,6.5,2.7,20888
South Beach,113036,Florida,1.5,0.3,1.6,0.3,4.4,3.6,1.7,4.5,10.9,18.7,26.1,22.7,3.9,3432
Naples,112865,Florida,2.4,2.2,3.6,2.2,2.0,2.1,3.8,6.1,9.7,18.7,26.0,15.6,7.7,20214
Westchase,111508,Florida,8.1,9.2,7.8,9.2,4.7,3.2,15.4,19.0,13.9,9.5,5.6,2.0,1.8,22897
Tierra Verde,109706,Florida,2.2,4.1,2.1,4.1,2.4,3.1,5.2,9.3,18.0,20.4,20.1,11.6,1.5,3227
Heathrow,107059,Florida,4.4,5.2,5.5,5.2,2.5,2.2,9.5,19.0,16.3,14.5,12.7,5.6,2.6,5943
Southwest Ranches,106875,Florida,5.4,2.7,7.2,2.7,7.9,7.6,9.3,13.4,19.4,12.7,8.9,4.0,1.6,7583
Lighthouse Point,104857,Florida,5.5,2.9,5.0,2.9,3.8,2.8,9.9,12.3,15.7,20.3,12.4,6.7,2.7,10693
Gulf Breeze,104398,Florida,3.9,6.7,8.8,6.7,7.4,7.3,9.5,7.9,17.8,15.2,9.4,4.6,1.6,5984
Fruit Cove,103860,Florida,3.7,7.1,9.4,7.1,10.1,5.6,6.5,15.1,18.1,13.1,7.1,3.0,1.3,30770
Juno Beach,103585,Florida,1.9,0.6,1.4,0.6,1.0,0.9,7.4,3.9,11.6,19.7,23.2,12.3,16.0,3267
Harbor Bluffs,102961,Florida,6.0,4.1,2.1,4.1,8.3,2.2,4.2,9.1,16.6,17.2,14.5,12.0,3.8,2821
Weston,102821,Florida,4.6,7.9,11.1,7.9,9.4,5.0,6.8,16.1,19.5,10.9,4.9,2.7,1.1,67567
Sawgrass,101855,Florida,2.2,3.8,6.2,3.8,2.2,3.6,8.1,8.3,10.3,23.6,15.9,13.5,2.3,5089
Grenelefe,101313,Florida,9.8,1.6,8.3,1.6,6.6,7.4,5.0,13.4,17.0,15.7,6.7,2.4,6.3,1813
Miramar Beach,100833,Florida,2.2,3.7,2.0,3.7,1.5,5.2,11.8,11.5,11.2,19.5,20.4,8.0,3.1,6835
Lake Mary,100625,Florida,4.4,4.8,6.7,4.8,6.7,4.7,10.9,11.7,20.8,14.6,7.7,4.0,3.0,14605
Glen Ridge,100250,Florida,2.0,4.5,5.5,4.5,10.6,6.0,13.6,8.5,14.6,23.1,7.5,2.5,1.5,199
Siesta Key,100188,Florida,3.9,1.8,3.0,1.8,1.5,1.5,4.8,5.3,12.7,21.8,24.8,14.9,4.1,6158
Fleming Island,100068,Florida,4.5,6.4,9.2,6.4,9.1,6.5,7.2,13.3,19.2,11.2,7.5,4.3,1.5,29656
Cooper City,99910,Florida,5.3,7.1,7.6,7.1,8.1,5.9,11.2,13.3,17.0,14.9,5.9,2.6,1.2,32058
Gateway,98990,Florida,6.0,4.5,7.3,4.5,9.2,4.6,12.2,13.7,11.7,13.8,12.0,4.2,0.9,8226
Celebration,98782,Florida,5.7,6.6,9.0,6.6,5.6,5.7,10.1,15.8,13.9,14.0,10.5,2.1,1.1,7111
Maitland,97512,Florida,4.6,5.7,5.3,5.7,6.0,4.7,19.5,10.2,16.5,12.2,7.5,5.5,2.5,16273
Jupiter Farms,96728,Florida,5.2,4.7,7.6,4.7,7.8,4.8,7.2,12.6,19.1,18.6,7.4,3.2,2.0,11803
Palm Shores,95875,Florida,5.2,6.0,7.5,6.0,2.4,7.3,9.2,13.2,22.4,16.4,5.6,3.8,1.1,1125
Bay Hill,95655,Florida,4.9,4.2,6.6,4.2,8.1,6.4,7.9,8.8,21.3,16.8,10.1,3.4,1.4,5704
Winter Park,95536,Florida,4.7,6.2,5.1,6.2,7.3,8.8,10.6,10.5,13.5,14.0,8.9,6.1,4.3,28771
Viera West,95380,Florida,7.6,7.6,6.4,7.6,3.8,1.7,9.9,16.1,13.9,12.6,16.4,3.6,0.4,8163
Miami Shores,95022,Florida,6.9,6.0,5.9,6.0,8.1,8.1,12.2,14.6,16.0,9.7,7.1,3.5,2.0,10736
Oakland,94620,Florida,7.1,5.1,10.0,5.1,8.5,5.0,9.4,13.4,19.3,14.9,5.5,1.5,0.3,2652
South Sarasota,94205,Florida,4.4,3.3,2.5,3.3,4.7,4.6,6.5,8.1,17.5,17.2,17.0,9.6,4.7,4531
Nocatee,94202,Florida,6.7,12.9,12.7,12.9,3.6,2.1,8.8,21.2,13.7,8.6,5.9,2.8,1.0,5923
South Patrick Shores,93848,Florida,2.0,5.4,5.4,5.4,5.4,8.4,6.0,10.3,18.4,16.7,13.0,7.2,2.0,6173
Lutz,93827,Florida,4.2,7.8,7.0,7.8,6.5,5.1,10.5,12.1,16.9,15.9,8.2,4.0,2.1,20184
Boca Raton,93766,Florida,3.8,4.3,5.2,4.3,8.0,6.7,9.8,11.0,15.0,14.2,11.3,7.4,3.4,88187
Neptune Beach,93750,Florida,3.9,2.8,7.2,2.8,6.5,7.5,12.4,11.1,13.4,16.7,8.8,5.7,4.1,6733
Country Walk,93571,Florida,5.5,8.2,7.5,8.2,8.4,6.0,11.8,16.9,16.1,9.4,6.1,3.5,0.7,17156
Feather Sound,93567,Florida,4.1,4.5,5.8,4.5,1.9,2.8,18.2,16.2,18.4,13.5,9.6,4.4,0.6,3235
Shalimar,93125,Florida,6.5,4.2,2.2,4.2,6.9,11.2,6.1,10.9,15.9,17.7,10.5,6.8,1.1,723
Palm City,92919,Florida,3.1,4.6,6.8,4.6,6.5,4.3,4.5,10.2,17.4,14.8,13.7,9.8,4.5,23380
Belleair,92557,Florida,5.8,4.3,7.3,4.3,6.7,2.4,3.9,11.0,17.7,12.4,13.2,10.7,4.7,3903
Oviedo,91727,Florida,6.1,8.5,8.6,8.5,7.6,7.4,13.4,14.7,16.0,10.6,4.0,2.0,1.3,35602
East Lake,90914,Florida,3.7,5.4,6.0,5.4,6.9,3.8,7.2,10.4,17.7,16.5,12.4,7.5,2.5,32335
Belleair Beach,90893,Florida,4.3,3.7,4.3,3.7,3.7,1.3,5.0,8.0,15.4,18.8,18.8,11.9,4.7,1705
Whiskey Creek,90662,Florida,2.7,3.9,3.6,3.9,5.7,5.5,7.6,9.6,14.5,15.1,14.2,10.7,6.9,4964
Pebble Creek,90575,Florida,6.4,6.9,9.4,6.9,5.7,6.2,12.0,16.6,13.5,11.8,7.8,2.0,1.8,8388
Belle Isle,90417,Florida,4.4,3.8,5.0,3.8,6.0,7.0,9.6,9.4,25.1,14.0,7.4,6.9,1.3,6265
Lakeland Highlands,90279,Florida,5.0,7.1,6.3,7.1,7.6,5.4,8.9,11.6,14.7,14.7,11.0,5.2,2.4,11649
Wellington,90278,Florida,4.9,6.7,8.6,6.7,8.3,5.9,7.9,14.7,17.7,12.0,8.0,4.1,1.2,59022
Apollo Beach,90060,Florida,7.4,5.9,5.4,5.9,4.9,4.2,10.1,13.8,16.3,17.1,9.3,4.5,1.0,15648
Silver Lake,89875,Florida,6.3,3.5,4.0,3.5,5.7,4.4,13.4,6.3,15.4,22.3,11.9,6.5,0.4,1641
Indian Rocks Beach,89604,Florida,2.6,2.2,3.3,2.2,3.2,4.1,9.3,9.2,22.5,22.2,13.9,5.8,1.7,4153
Palm Beach Gardens,89457,Florida,4.2,4.7,3.9,4.7,4.4,4.4,10.7,12.7,14.1,13.6,14.3,8.9,4.2,50147
Bloomingdale,89144,Florida,4.9,5.6,8.3,5.6,8.6,4.0,11.1,15.0,16.3,14.5,7.4,3.4,0.9,22879
Osprey,89032,Florida,0.7,2.4,7.3,2.4,5.1,1.8,4.9,5.1,16.8,18.4,21.1,12.0,4.5,6223
Atlantis,88750,Florida,3.2,4.2,4.3,4.2,3.0,2.5,4.0,6.5,11.4,10.7,21.5,19.3,9.4,2063
Doctor Phillips,88677,Florida,4.4,5.5,6.0,5.5,7.1,6.3,10.6,14.9,14.7,15.4,8.3,5.6,1.1,12028
Saint Augustine Beach,88157,Florida,4.7,5.8,5.2,5.8,3.7,2.6,11.5,14.9,15.7,14.9,13.0,5.3,2.8,6422
Atlantic Beach,87583,Florida,4.0,3.3,5.3,3.3,7.8,4.4,14.2,11.9,16.9,15.9,8.0,5.8,2.6,12840
Lauderdale By The Sea,87465,Florida,1.9,1.7,1.3,1.7,1.6,3.0,4.4,9.5,16.6,19.7,19.2,13.5,7.6,6241
Wallace,87188,Florida,1.9,3.9,4.2,3.9,5.3,7.3,3.0,11.4,18.3,29.2,8.3,4.5,2.8,1488
Jupiter,87173,Florida,4.8,5.1,6.2,5.1,5.0,2.8,12.6,11.8,14.7,15.1,11.1,7.8,3.1,57625
