City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Barton Hills,250001,Michigan,2.2,1.9,6.7,1.9,8.0,3.2,5.1,7.0,19.5,19.2,13.7,11.5,1.9,313
Bloomfield Hills,208333,Michigan,4.5,5.2,8.7,5.2,10.4,4.1,4.1,9.6,15.0,17.0,11.3,5.0,5.3,3925
Village Of Grosse Pointe Shores,162604,Michigan,1.8,4.7,7.7,4.7,6.3,5.5,3.4,9.3,15.3,19.0,12.6,7.8,6.7,3031
Orchard Lake Village,155938,Michigan,2.4,3.6,7.4,3.6,9.3,6.0,5.9,8.3,19.4,19.5,11.0,6.4,0.8,2343
Franklin,144813,Michigan,5.9,7.3,9.2,7.3,7.3,3.3,5.4,9.1,18.8,16.8,10.2,4.3,2.4,3106
Birmingham,139113,Michigan,6.9,8.1,6.8,8.1,5.8,2.4,12.3,15.4,15.9,13.0,8.3,3.7,1.5,20382
Bingham Farms,138864,Michigan,1.7,5.7,7.5,5.7,5.5,2.4,1.6,9.8,16.0,13.6,18.3,12.5,5.5,1220
Grosse Pointe,134625,Michigan,4.8,7.1,8.5,7.1,8.0,3.1,5.6,14.2,17.2,14.6,8.8,5.8,2.4,5350
Pleasant Ridge,132813,Michigan,4.2,5.2,5.4,5.2,4.2,2.0,8.8,17.9,18.3,15.8,11.6,5.0,1.8,2544
Grosse Pointe Farms,132500,Michigan,5.7,9.9,8.3,9.9,5.7,3.3,6.2,13.8,14.1,15.7,9.0,5.6,2.7,9371
Huntington Woods,131765,Michigan,6.5,8.7,7.4,8.7,5.6,1.6,7.9,15.8,17.2,14.6,8.4,3.8,2.4,6310
Beverly Hills,126033,Michigan,4.1,8.1,8.8,8.1,6.1,3.4,8.3,14.5,16.4,13.2,7.6,4.3,5.1,10368
Forest Hills,126029,Michigan,6.5,7.6,9.1,7.6,7.8,3.5,7.8,13.5,16.2,15.8,7.9,3.4,0.9,27072
Grosse Pointe Park,125038,Michigan,5.7,6.3,7.7,6.3,7.4,4.4,9.9,12.5,16.3,15.3,7.8,4.7,1.9,11412
Rochester,119223,Michigan,7.0,6.6,7.2,6.6,5.6,5.8,13.1,13.3,16.9,11.1,7.8,4.2,1.5,12872
South Gull Lake,118750,Michigan,0.9,4.6,4.6,4.6,6.9,5.6,9.7,10.9,12.5,22.6,8.1,12.2,1.5,1357
East Grand Rapids,116875,Michigan,6.5,8.9,9.5,8.9,8.4,1.6,8.9,14.7,18.0,13.8,5.9,1.7,2.4,10999
Northville,116281,Michigan,4.0,6.6,6.0,6.6,6.3,4.7,9.8,13.0,18.3,13.5,9.9,5.4,2.8,6001
Novi,109510,Michigan,5.6,6.5,7.9,6.5,6.5,5.4,11.7,15.1,16.1,12.1,5.9,4.3,2.9,56887
Grosse Pointe Woods,105758,Michigan,5.5,5.5,6.3,5.5,7.4,5.4,10.2,9.9,16.2,15.8,8.5,5.9,3.5,15943
Okemos,104612,Michigan,5.0,5.1,5.6,5.1,6.2,12.4,12.3,10.9,13.6,14.5,8.0,4.4,2.0,21827
Saline,103594,Michigan,3.8,6.6,7.6,6.6,8.8,3.8,9.8,11.6,17.9,13.5,7.0,5.1,4.5,9000
Rochester Hills,102284,Michigan,5.9,6.9,6.3,6.9,6.6,5.0,11.6,13.4,15.7,14.5,7.6,3.9,2.7,72195
Troy,99011,Michigan,5.2,6.3,6.9,6.3,6.8,5.3,11.1,13.4,16.0,14.2,8.6,4.5,1.6,82106
Lathrup Village,98362,Michigan,6.9,3.4,6.2,3.4,5.9,4.2,9.8,15.0,14.6,19.5,9.2,4.4,1.0,4109
Milford,98306,Michigan,6.7,5.3,4.5,5.3,7.7,5.4,11.4,12.2,20.8,11.8,8.7,3.7,1.8,6325
Sylvan Lake,97115,Michigan,3.5,5.7,3.5,5.7,5.3,5.2,11.1,13.7,18.4,16.4,7.9,6.7,2.5,1591
Lake Victoria,96500,Michigan,1.0,8.2,6.6,8.2,7.8,2.1,2.7,17.8,20.7,19.2,6.3,5.4,2.1,889
Ann Arbor,96210,Michigan,4.3,3.8,3.5,3.8,12.0,20.2,17.5,9.7,9.3,9.5,5.5,3.2,1.6,115985
New Baltimore,94677,Michigan,7.3,7.6,8.5,7.6,5.1,5.0,9.5,16.7,17.8,9.4,7.3,3.1,2.6,12144
Village Of Clarkston,93333,Michigan,6.6,5.9,6.2,5.9,5.8,2.4,7.3,15.7,11.3,12.4,17.0,6.0,3.5,852
Farmington Hills,92855,Michigan,4.7,5.4,6.3,5.4,6.2,5.2,12.3,12.9,14.8,14.9,8.8,5.8,2.6,80682
Dexter,92431,Michigan,7.7,11.5,9.6,11.5,4.8,6.1,12.6,17.5,11.9,6.9,4.8,4.0,2.5,4482
Shoreham,91563,Michigan,3.9,7.0,6.3,7.0,5.5,1.9,11.7,14.4,13.0,14.7,13.3,6.1,2.3,832
Ferrysburg,90313,Michigan,0.9,5.0,4.8,5.0,4.8,6.1,5.9,12.1,19.6,19.9,11.8,7.8,1.3,2939
Lake Orion,89716,Michigan,4.9,6.7,5.5,6.7,4.7,3.5,13.5,12.7,17.6,13.9,7.7,6.1,3.3,3036
Plymouth,89430,Michigan,6.8,6.0,5.0,6.0,4.5,3.8,17.3,13.9,14.5,14.8,6.3,3.9,3.2,9029
East Lansing,88548,Michigan,2.3,2.1,1.9,2.1,27.5,36.1,9.9,4.6,4.2,5.0,3.2,2.0,1.2,48611
Berkley,88434,Michigan,6.5,5.1,6.3,5.1,4.9,5.2,16.1,16.4,14.5,13.9,5.4,2.9,2.9,15136
Royal Oak,87521,Michigan,5.3,4.0,4.2,4.0,4.0,6.8,21.7,13.8,14.0,13.1,6.5,4.3,2.5,58382
Wacousta,86563,Michigan,3.1,3.2,4.2,3.2,1.4,2.4,16.3,5.3,22.5,21.1,14.6,4.3,1.7,1347
South Lyon,85515,Michigan,5.5,7.7,7.6,7.7,5.8,4.1,11.6,15.8,17.0,10.8,6.8,5.6,1.9,11514
Caledonia,84875,Michigan,7.5,10.1,10.9,10.1,7.1,5.8,13.0,16.0,16.4,7.4,2.7,1.8,1.5,1595
Haslett,84684,Michigan,4.6,5.0,5.6,5.0,5.7,10.4,14.0,11.3,12.7,14.7,9.0,3.9,3.1,20061
Dewitt,84300,Michigan,6.5,10.4,7.9,10.4,5.9,2.4,11.9,12.2,13.9,17.9,7.1,2.5,1.4,4606
Livonia,83088,Michigan,4.7,5.4,6.2,5.4,5.5,5.7,10.5,12.1,16.3,15.6,8.9,6.3,2.7,95888
North Muskegon,83023,Michigan,3.9,3.7,7.2,3.7,6.8,5.0,9.8,11.7,11.7,15.4,11.8,6.8,6.4,3769
Frankenmuth,82927,Michigan,3.2,4.2,6.5,4.2,5.6,4.7,9.1,6.7,12.2,18.5,9.4,9.7,10.1,4934
Suttons Bay,81875,Michigan,2.6,6.0,3.9,6.0,3.5,2.8,4.8,10.7,7.2,16.0,22.3,10.5,9.7,569
Wixom,81432,Michigan,7.3,5.5,6.8,5.5,8.0,9.0,13.5,15.0,18.2,9.9,4.6,1.7,0.6,13640
Wolverine Lake,81146,Michigan,5.4,5.2,6.7,5.2,6.2,3.9,12.0,12.9,17.7,18.0,8.2,3.7,0.3,4357
Farmington,80475,Michigan,6.5,6.7,5.1,6.7,4.7,5.0,16.3,13.9,12.3,13.6,8.2,5.9,1.8,10472
Freeland,79915,Michigan,7.0,9.8,7.5,9.8,4.0,7.3,19.9,13.7,13.8,7.4,4.8,3.6,1.3,7608
Rockford,79779,Michigan,13.6,9.1,4.8,9.1,5.9,6.2,13.2,13.7,14.7,8.8,5.2,2.8,2.0,5876
Brighton,78654,Michigan,4.0,4.2,5.2,4.2,6.3,3.1,15.0,12.0,14.9,14.2,8.7,9.0,3.3,7562
Mackinac Island,78036,Michigan,13.2,0.5,0.3,0.5,12.2,7.8,15.0,8.7,12.3,14.7,9.7,4.7,1.0,600
Stony Point,77981,Michigan,6.7,8.7,4.4,8.7,4.3,12.2,10.1,8.7,9.0,21.3,11.6,1.9,1.1,1410
Richland,77813,Michigan,5.7,7.2,7.5,7.2,4.3,4.7,12.7,8.3,11.2,16.4,8.9,8.6,4.6,858
Goodrich,77031,Michigan,5.4,10.4,10.1,10.4,7.0,2.4,8.6,18.6,14.1,12.0,5.1,3.6,2.8,1851
Chelsea,76250,Michigan,5.9,9.0,3.6,9.0,4.3,4.9,10.9,13.9,12.5,9.4,8.1,6.2,11.3,5085
Woodhaven,76197,Michigan,5.1,6.4,7.5,6.4,7.0,6.5,9.8,14.0,15.8,15.1,9.1,3.0,0.9,12747
Williamston,76058,Michigan,9.1,9.9,8.5,9.9,3.5,5.8,14.5,13.0,11.7,10.4,6.9,4.1,2.7,3855
Harbor Springs,74306,Michigan,2.2,2.5,3.3,2.5,6.3,3.6,6.3,7.7,8.9,21.8,16.8,10.5,10.1,986
Fowler,74107,Michigan,7.9,9.1,9.7,9.1,5.7,4.7,14.9,11.8,10.3,10.0,7.7,6.0,2.2,1252
Lambertville,73591,Michigan,5.0,4.2,8.0,4.2,9.4,4.3,9.9,12.4,17.6,14.5,8.3,5.6,0.9,9988
Portage,73337,Michigan,7.5,6.5,6.9,6.5,5.6,7.6,13.3,13.3,13.6,12.1,7.8,4.1,1.8,47137
Holt,73091,Michigan,6.8,7.8,7.7,7.8,5.6,5.2,12.7,14.4,15.0,13.6,6.0,3.8,1.6,24267
Manchester,73056,Michigan,5.8,5.9,10.2,5.9,9.6,6.9,8.3,12.6,15.5,13.3,4.9,4.3,2.7,2374
Leonard,72857,Michigan,8.4,8.4,7.4,8.4,7.6,1.2,13.3,15.0,11.1,16.7,5.7,3.7,1.7,407
Midland,72700,Michigan,6.0,6.3,6.5,6.3,7.2,7.7,12.9,12.1,13.7,12.2,6.8,5.8,3.0,42067
Allen Park,72472,Michigan,4.7,5.3,6.0,5.3,6.9,6.2,11.8,13.3,14.8,14.4,7.6,6.0,3.0,27869
Temperance,72307,Michigan,4.8,7.6,9.6,7.6,6.7,3.5,9.9,12.4,15.8,13.4,10.4,5.4,0.6,9402
Metamora,72266,Michigan,6.1,11.8,12.6,11.8,8.1,3.0,6.8,18.2,14.9,10.5,5.6,1.8,0.5,603
Romeo,72266,Michigan,5.4,3.0,6.4,3.0,7.2,5.5,12.1,13.1,16.7,14.6,8.7,4.7,2.4,3608
Argentine,72105,Michigan,3.7,6.1,6.0,6.1,7.6,4.5,7.7,10.1,19.9,17.3,8.9,6.1,2.1,2345
Armada,71964,Michigan,4.6,9.1,10.2,9.1,9.2,3.4,8.6,16.2,13.0,9.4,6.9,4.8,4.6,2012
Waverly,71954,Michigan,3.8,4.2,7.0,4.2,5.7,7.7,14.3,11.0,15.1,14.6,9.2,4.4,3.0,24470
Dimondale,71750,Michigan,6.9,5.5,10.2,5.5,4.3,3.1,13.3,9.9,12.1,18.3,10.1,4.4,2.0,1209
Clawson,71417,Michigan,4.7,5.4,3.9,5.4,5.2,4.9,17.1,13.6,17.5,12.4,8.4,4.2,2.7,11943
Linden,71272,Michigan,7.1,8.1,7.8,8.1,4.0,3.6,9.6,15.3,10.5,14.0,9.2,7.3,3.6,3919
Gibraltar,71122,Michigan,3.2,5.1,7.1,5.1,8.2,4.3,8.9,16.1,15.8,15.9,9.3,5.0,1.0,4602
Fraser,71023,Michigan,5.4,5.3,6.6,5.3,6.5,4.2,9.9,12.8,15.7,16.4,9.4,5.5,2.3,14544
Stevensville,70903,Michigan,4.9,4.3,7.6,4.3,5.9,2.7,9.6,13.3,14.6,13.0,9.8,10.4,4.0,1312
Rockwood,70778,Michigan,3.7,4.0,5.6,4.0,7.0,7.6,10.4,14.3,16.3,17.8,8.5,3.0,1.9,3243
Trenton,70619,Michigan,5.2,5.1,5.8,5.1,5.8,5.2,10.5,11.5,16.7,13.2,9.5,8.4,3.1,18635
Bridgman,70536,Michigan,7.2,7.2,5.9,7.2,5.2,6.2,10.0,11.3,11.8,14.4,6.9,9.0,5.1,1963
Sterling Heights,70347,Michigan,5.0,5.8,5.9,5.8,6.3,6.6,13.0,13.2,15.1,13.2,8.4,5.0,2.5,130604
Horton Bay,70250,Michigan,2.0,2.0,7.5,2.0,8.9,8.7,3.8,7.9,18.4,19.0,17.1,2.6,2.2,496
Milan,70246,Michigan,5.0,5.8,9.9,5.8,7.8,6.7,10.8,17.3,12.4,11.6,7.5,3.8,1.4,5724
West Ishpeming,69911,Michigan,3.2,3.4,5.7,3.4,6.6,4.9,9.6,10.2,16.1,20.1,7.7,9.9,2.7,2687
Auburn,69274,Michigan,4.8,4.6,7.1,4.6,6.5,6.5,14.1,8.9,16.3,11.7,10.6,6.1,2.8,2063
Pinckney,69103,Michigan,4.1,7.9,12.3,7.9,6.0,6.9,13.1,19.3,12.7,8.9,5.7,2.2,1.0,2596
Portland,69018,Michigan,7.4,7.7,7.4,7.7,6.5,10.0,11.1,14.0,11.1,14.2,7.0,3.4,0.3,3899
Oxford,68958,Michigan,5.4,6.6,5.0,6.6,4.1,6.3,8.4,14.7,21.9,12.8,9.1,4.7,0.9,3488
Traverse City,68937,Michigan,5.7,5.6,3.9,5.6,5.8,6.3,15.0,11.8,14.7,16.0,7.0,5.0,3.2,15006
Woodland,68594,Michigan,4.3,5.9,4.3,5.9,8.1,6.4,10.9,9.3,23.3,10.2,11.2,5.2,1.0,421
Petoskey,68494,Michigan,2.5,6.8,3.8,6.8,4.1,8.9,14.8,11.7,15.1,13.9,8.4,5.8,4.1,5705
Byron Center,68417,Michigan,6.8,8.2,8.3,8.2,6.9,5.2,7.6,13.7,15.5,11.8,7.1,6.1,2.8,6057
Whitmore Lake,68409,Michigan,6.1,3.8,7.5,3.8,4.0,9.5,15.3,13.1,16.1,13.0,7.4,3.4,1.0,6380
Allendale,68322,Michigan,4.5,5.0,5.4,5.0,24.3,24.5,9.9,8.6,8.0,5.3,2.5,1.5,0.5,18393
Marysville,68299,Michigan,5.0,6.7,6.4,6.7,6.6,4.0,10.4,14.1,13.3,15.0,8.6,6.9,3.0,9842
Greilickville,68208,Michigan,2.8,2.7,4.9,2.7,3.3,6.2,6.2,3.9,11.0,14.6,14.5,21.5,8.5,1960
Jenison,68014,Michigan,6.2,7.8,7.2,7.8,6.8,6.9,11.0,10.0,13.5,12.3,7.9,6.4,3.9,17271
Northview,67938,Michigan,4.2,7.3,6.3,7.3,6.1,6.7,13.2,9.9,14.9,16.3,8.8,4.0,2.4,14954
Edgemont Park,67801,Michigan,6.1,6.1,6.8,6.1,6.8,9.9,14.1,10.9,17.1,8.4,7.3,5.4,1.2,2242
Grand Ledge,67794,Michigan,4.7,7.2,4.6,7.2,9.2,5.9,12.5,11.9,16.5,11.9,6.6,4.9,4.3,7779
Blissfield,67188,Michigan,5.4,8.0,6.3,8.0,6.5,4.2,10.5,15.6,16.4,13.0,7.3,5.2,1.6,3304
Saint Clair Shores,67086,Michigan,4.5,4.8,6.3,4.8,5.3,4.7,14.2,11.3,16.1,14.3,8.0,6.8,3.7,59865
