City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Hewlett Bay Park,250001,New York,2.3,2.5,5.5,2.5,9.3,4.0,10.8,5.5,21.4,18.4,13.9,3.8,2.5,397
Plandome,250001,New York,6.8,8.8,10.8,8.8,8.0,5.5,4.6,10.2,20.5,11.5,7.3,5.0,1.1,1430
Old Field,249250,New York,2.9,2.9,9.7,2.9,7.3,3.7,3.4,9.6,17.3,24.9,10.3,7.0,1.0,919
Scarsdale,241453,New York,5.7,11.2,10.0,11.2,8.4,2.8,3.0,14.6,18.7,12.0,7.7,3.7,2.4,17471
Brookville,236786,New York,2.7,4.6,7.5,4.6,19.6,19.9,2.7,7.2,15.1,9.0,8.2,2.6,0.9,3518
Muttontown,230865,New York,2.2,6.4,7.4,6.4,10.6,6.2,2.7,9.9,20.0,19.4,7.6,5.7,1.8,3581
Roslyn Estates,220000,New York,5.4,9.4,11.0,9.4,5.4,2.7,2.8,11.9,20.9,12.0,8.4,6.9,3.4,1194
Flower Hill,214239,New York,6.2,9.9,10.3,9.9,8.7,2.9,4.8,14.3,17.9,10.9,6.9,4.6,2.7,4741
Oyster Bay Cove,208750,New York,3.9,5.0,10.3,5.0,7.3,4.2,6.9,11.3,20.9,15.9,8.5,3.9,2.1,2165
Upper Brookville,208750,New York,3.4,3.5,3.0,3.5,5.0,6.8,10.7,7.6,12.7,21.5,12.8,10.2,2.9,1447
Sands Point,206833,New York,4.2,5.5,9.2,5.5,9.3,5.2,2.4,10.2,16.5,16.4,14.0,4.7,2.6,2718
Munsey Park,203636,New York,4.5,13.1,9.7,13.1,9.6,2.8,6.6,11.5,15.0,15.2,7.6,3.8,0.8,2712
Matinecock,201477,New York,4.0,10.6,9.0,10.6,5.5,6.0,7.3,17.7,11.3,12.6,5.0,7.6,3.4,886
Hewlett Harbor,200625,New York,3.3,4.3,12.9,4.3,9.7,5.5,3.2,10.3,20.6,11.8,8.5,6.7,3.3,1259
Old Westbury,200000,New York,1.3,4.2,6.4,4.2,20.9,21.7,5.9,6.7,11.6,11.6,5.7,2.2,1.8,4599
Plandome Heights,200000,New York,5.2,7.6,8.0,7.6,9.9,3.0,5.4,11.9,20.9,11.2,8.2,4.3,4.3,956
