,Experiment,Treatment,fips,State
0,"('AlAMU', 1875)",1,1089,Alabama
1,"('AlAMU', 1875)",0,1101,Alabama
2,"('AlAMU', 1875)",0,1087,Alabama
3,"('AubU', 1856)",1,1081,Alabama
4,"('AubU', 1856)",0,1077,Alabama
5,"('AubU', 1856)",0,1121,Alabama
6,"('AubU', 1856)",0,1125,Alabama
7,"('LGMA', 1830)",1,1059,Alabama
8,"('LGMA', 1830)",0,1077,Alabama
9,"('TallC', 1866)",1,1121,Alabama
10,"('TallC', 1866)",0,1047,Alabama
11,"('TallC', 1866)",0,1101,Alabama
12,"('TallC', 1866)",0,1097,Alabama
13,"('UAl', 1818)",1,1125,Alabama
14,"('UAl', 1818)",0,1117,Alabama
15,"('UAl', 1818)",0,1059,Alabama
16,"('UAl', 1818)",0,1083,Alabama
17,"('UAl', 1818)",0,1071,Alabama
18,"('UAl', 1818)",0,1105,Alabama
19,"('UAl', 1818)",0,1063,Alabama
20,"('UAl', 1818)",0,1071,Alabama
21,"('UAl', 1818)",0,1103,Alabama
22,"('UAl', 1818)",0,1079,Alabama
23,"('UAl', 1818)",0,1001,Alabama
24,"('UAl', 1818)",0,1013,Alabama
25,"('UAl', 1818)",0,1073,Alabama
26,"('UAl', 1818)",0,1009,Alabama
61,"('AzPacU', 1900)",1,6037,California
62,"('AzPacU', 1900)",0,6001,California
63,"('PomoC', 1887)",1,6037,California
64,"('PomoC', 1887)",0,6037,California
65,"('PomoC', 1887)",0,6065,California
66,"('PomoC', 1887)",0,6071,California
67,"('StanU', 1885)",1,6085,California
68,"('StanU', 1885)",0,6081,California
69,"('StanU', 1885)",0,6001,California
70,"('StanU', 1885)",0,6007,California
71,"('StanU', 1885)",0,6067,California
72,"('StanU', 1885)",0,6103,California
73,"('SJSU', 1880)",1,6085,California
74,"('SJSU', 1880)",0,6089,California
75,"('SJSU', 1880)",0,6019,California
76,"('SJSU', 1880)",0,6097,California
77,"('SJSU', 1880)",0,6037,California
78,"('UCaB', 1857)",1,6001,California
79,"('UCaB', 1857)",0,6001,California
80,"('UCaB', 1857)",0,6013,California
81,"('UCaB', 1857)",0,6055,California
82,"('UCaB', 1857)",0,6085,California
83,"('UCaDav', 1905)",1,6113,California
84,"('UCaDav', 1905)",0,6113,California
85,"('UCaDav', 1905)",0,6013,California
86,"('UCaDav', 1905)",0,6095,California
87,"('UCaDav', 1905)",0,6001,California
88,"('UCaDav', 1905)",0,6077,California
89,"('UCaDav', 1905)",0,6099,California
90,"('UCaDav', 1905)",0,6047,California
91,"('UCaDav', 1905)",0,6019,California
92,"('UCaDav', 1905)",0,6007,California
93,"('UCaDav', 1905)",0,6021,California
94,"('UCaDav', 1905)",0,6085,California
95,"('UCaDav', 1905)",0,6053,California
96,"('UCaDav', 1905)",0,6087,California
97,"('UCaDav', 1905)",0,6097,California
98,"('UCaSD', 1956)",1,6073,California
99,"('UCaSD', 1956)",0,6037,California
100,"('UCaIrv', 1960)",1,6059,California
101,"('UCaIrv', 1960)",0,6037,California
102,"('UCaSCr', 1960)",1,6087,California
