City,Median Income_x,State,Percentage of Population Age 5 or Less,Percentage of Population Age 5 to 9_x,Percentage of Population Age 10 to 14,Percentage of Population Age 5 to 9_y,Percentage of Population Age 15 to 19,Percentage of Population Age 20 to 24,Percentage of Population Age 25 to 34,Percentage of Population Age 45 to 44,Percentage of Population Age 45 to 54,Percentage of Population Age 55 to 64,Percentage of Population Age 65 to 74,Percentage of Population Age 75 to 84,Percentage of Population Age 85 or Older,Population
Piney Point Village,250001,Texas,2.9,4.6,9.4,4.6,7.5,4.6,2.8,7.6,18.4,21.1,11.8,6.4,3.0,3228
Westlake,250001,Texas,6.8,5.1,15.0,5.1,10.8,3.0,2.3,13.9,22.5,12.0,6.1,1.7,0.8,1171
Bunker Hill Village,243889,Texas,3.2,9.5,9.9,9.5,9.4,0.3,1.6,13.3,19.2,15.6,10.2,5.2,2.5,3777
Hunters Creek Village,242250,Texas,5.9,7.4,9.5,7.4,8.2,3.3,4.9,10.0,22.2,14.7,8.4,3.9,1.6,4545
Hill Country Village,212917,Texas,1.7,4.2,6.0,4.2,8.2,8.6,4.6,8.4,16.3,20.5,12.2,7.3,2.1,874
West University Place,207429,Texas,6.8,8.0,9.3,8.0,6.8,2.0,7.1,14.2,18.4,16.4,8.1,1.9,1.0,15223
Highland Park,192946,Texas,5.6,9.5,9.8,9.5,5.6,1.7,6.3,11.1,17.7,16.3,10.1,4.9,1.6,8796
University Park,176836,Texas,4.9,8.6,10.5,8.6,14.6,9.2,5.0,12.9,17.3,10.0,3.3,2.7,1.0,23761
Hilshire Village,171094,Texas,4.5,8.4,8.3,8.4,3.6,1.2,0.8,13.0,19.8,15.8,14.2,6.1,4.3,606
Spring Valley Village,171026,Texas,11.1,6.6,6.5,6.6,6.3,2.2,8.9,13.2,18.2,15.1,5.3,4.6,2.0,3938
Southlake,170742,Texas,4.6,8.3,13.1,8.3,9.2,2.0,4.5,14.3,23.1,13.5,4.2,1.9,1.3,27755
Bellaire,169663,Texas,7.1,8.2,8.1,8.2,8.1,3.5,6.0,15.0,17.1,15.3,7.0,3.3,1.4,17533
Barton Creek,167560,Texas,3.5,4.0,7.0,4.0,7.1,1.0,7.6,10.2,16.5,12.8,13.9,8.8,7.7,3483
Fulshear,165208,Texas,6.2,10.5,10.6,10.5,8.1,2.4,9.6,17.6,18.7,8.3,6.2,1.4,0.4,2284
Rollingwood,161429,Texas,10.3,6.2,6.6,6.2,6.6,2.8,5.2,11.0,17.3,20.4,5.7,5.3,2.7,1453
West Lake Hills,160574,Texas,3.7,11.3,9.1,11.3,6.3,1.7,2.2,13.2,18.7,20.0,10.2,2.9,0.8,3225
Weston Lakes,155667,Texas,4.3,4.6,4.8,4.6,5.0,2.4,4.7,10.6,18.2,21.5,17.3,5.1,1.6,2544
Volente,153654,Texas,8.2,9.8,6.8,9.8,5.0,0.6,5.5,17.0,19.6,18.6,6.3,2.4,0.3,716
Heath,152379,Texas,4.6,7.7,6.2,7.7,8.7,3.4,5.0,12.7,21.3,14.6,10.7,4.3,0.9,7620
Shavano Park,151779,Texas,2.3,5.6,7.4,5.6,8.8,5.1,3.0,8.8,19.3,20.6,12.6,4.6,1.9,3234
Parker,151420,Texas,5.5,7.7,10.0,7.7,9.7,2.6,5.6,12.0,18.9,12.5,9.5,3.6,2.4,3974
Colleyville,151169,Texas,4.2,7.7,8.5,7.7,8.0,3.5,4.6,12.0,19.4,19.3,8.9,3.3,0.6,23928
Greatwood,145912,Texas,7.8,8.4,11.4,8.4,7.2,2.7,7.9,16.2,15.2,9.4,10.3,2.3,1.3,12657
Lantana,142794,Texas,7.6,9.3,15.0,9.3,4.6,4.0,10.1,24.5,11.4,7.9,4.7,0.7,0.4,8025
The Hills,142125,Texas,4.0,8.8,8.6,8.8,7.0,2.0,4.4,15.1,20.1,11.3,9.3,7.8,1.8,2533
Southside Place,141250,Texas,5.0,9.1,9.0,9.1,9.3,5.2,5.2,14.8,16.7,15.5,6.9,1.5,1.8,1816
Scenic Oaks,136968,Texas,8.2,7.4,8.7,7.4,6.9,4.4,5.9,16.6,17.2,13.6,6.2,3.9,0.9,5456
Garden Ridge,134309,Texas,1.7,7.9,9.9,7.9,4.9,1.7,2.6,9.9,20.6,19.0,17.3,3.7,0.8,3514
Highland Village,133161,Texas,5.7,6.1,9.6,6.1,7.1,3.7,6.0,16.9,19.8,14.2,6.9,3.2,0.9,15589
Double Oak,132955,Texas,7.3,5.6,9.2,5.6,8.2,6.4,5.0,12.3,20.4,13.5,8.3,2.7,0.9,2951
Fair Oaks Ranch,132855,Texas,2.4,6.5,10.3,6.5,6.3,3.7,4.7,10.2,15.5,17.0,17.2,4.9,1.4,6534
Sunset Valley,130982,Texas,7.2,6.3,5.7,6.3,4.6,2.3,10.6,19.4,12.3,17.9,10.5,2.9,0.3,697
Cinco Ranch,130645,Texas,4.6,8.1,10.5,8.1,9.0,3.8,6.2,13.9,21.8,13.3,6.2,2.2,0.4,18028
Sienna Plantation,130300,Texas,7.6,9.2,11.6,9.2,8.9,2.5,9.0,21.8,11.1,11.3,5.3,1.6,0.2,15824
Pinewood Estates,130128,Texas,2.9,10.2,5.0,10.2,13.9,1.1,4.5,13.7,14.6,18.7,8.8,5.6,1.2,1779
Taylor Lake Village,129479,Texas,4.7,8.2,4.2,8.2,9.2,4.2,5.9,8.5,18.5,18.4,10.6,6.7,0.8,3613
Terrell Hills,127589,Texas,6.0,6.7,9.9,6.7,8.0,2.0,5.0,15.5,20.5,13.0,7.9,4.1,1.5,5037
Trophy Club,127391,Texas,6.2,8.4,8.5,8.4,7.1,3.1,7.5,17.5,17.1,13.4,6.8,4.1,0.3,9451
New Territory,123445,Texas,4.6,6.8,10.5,6.8,9.3,6.4,10.7,13.3,21.2,11.0,3.6,1.9,0.8,15640
Flower Mound,121549,Texas,5.5,8.4,10.4,8.4,8.5,4.0,7.9,17.4,20.7,10.8,4.3,1.6,0.5,67630
Murphy,121360,Texas,7.5,10.8,10.0,10.8,8.1,5.2,6.7,21.4,13.5,10.2,5.0,1.4,0.2,19154
Lucas,119968,Texas,4.4,11.0,11.5,11.0,5.0,4.7,7.6,16.0,22.7,7.8,4.9,3.8,0.6,5928
Mclendon-Chisholm,118750,Texas,3.7,11.4,6.8,11.4,7.8,3.6,6.1,13.9,16.5,14.3,11.4,4.3,0.2,1801
Copper Canyon,117273,Texas,3.6,4.2,6.7,4.2,9.4,3.3,7.8,11.1,20.2,18.2,12.9,1.0,1.7,1353
Brazos Country,116667,Texas,3.9,3.5,8.5,3.5,8.4,4.1,5.1,10.7,18.2,20.4,12.6,3.0,1.6,609
Tiki Island,115972,Texas,1.0,1.9,0.7,1.9,2.0,1.9,0.2,6.0,23.3,34.6,19.4,8.2,0.8,896
Dalworthington Gardens,115809,Texas,1.4,5.1,4.5,5.1,9.1,6.1,8.5,8.2,20.4,20.1,10.7,4.9,1.1,2077
Paloma Creek South,115042,Texas,14.9,11.3,5.4,11.3,3.8,5.8,20.4,15.2,9.6,8.2,3.6,0.3,1.7,4221
Helotes,114470,Texas,4.9,7.0,9.3,7.0,8.7,3.3,9.8,12.0,15.2,13.3,10.1,3.2,3.5,7880
Keller,114266,Texas,5.1,8.4,9.9,8.4,7.9,4.3,8.4,15.3,18.6,11.7,6.5,3.1,1.0,41913
Annetta,113594,Texas,3.3,10.5,8.4,10.5,9.8,2.4,3.4,14.3,20.5,12.1,8.6,5.7,1.1,1509
Bartonville,113173,Texas,5.5,7.1,8.7,7.1,7.2,4.3,8.6,12.8,20.3,14.3,5.8,3.9,1.5,1879
Lake Tanglewood,112292,Texas,4.9,3.3,2.2,3.3,4.2,1.8,5.8,8.2,15.8,26.1,19.3,6.1,2.4,721
Frisco,112155,Texas,8.3,10.8,9.2,10.8,6.1,4.0,11.5,22.2,14.1,7.3,4.5,1.7,0.4,130499
Prosper,111641,Texas,9.1,10.9,11.2,10.9,7.3,3.2,8.9,19.1,14.8,10.1,4.3,0.9,0.3,12503
Argyle,111616,Texas,4.1,6.6,8.8,6.6,7.0,3.7,6.4,13.5,24.6,11.8,10.8,2.4,0.4,3449
Shady Shores,111389,Texas,5.5,10.0,6.9,10.0,5.2,2.7,5.3,14.3,17.7,20.1,7.5,2.5,2.2,2729
Olmos Park,111359,Texas,6.9,6.5,8.6,6.5,5.1,2.5,8.0,11.4,18.7,15.1,11.5,5.1,0.7,2023
